name,longitude,latitude,address,description
白云路换乘中心,117.795,30.93861,安徽省铜陵市白云路换乘中心,
汇景新城,117.7918,30.93937,安徽省铜陵市汇景新城,
白云中路,117.8185,30.95123,安徽省铜陵市白云中路,
映湖山庄,117.7999,30.942,安徽省铜陵市映湖山庄,
天井湖公园,117.8013,30.95509,安徽省铜陵市天井湖公园,公园
第十中学,116.2186,39.82927,安徽省铜陵市第十中学,医院
市立医院,117.8169,30.93752,安徽省铜陵市市立医院,
育才路,117.8534,31.10436,安徽省铜陵市育才路,
义安大道北,117.8222,30.94596,安徽省铜陵市义安大道北,
景尚花园,117.8236,30.94653,安徽省铜陵市景尚花园,
茂源大市场,117.8285,30.94599,安徽省铜陵市茂源大市场,
杨村路口,117.8335,30.94926,安徽省铜陵市杨村路口,
新苑小区南门,117.8342,30.95444,安徽省铜陵市新苑小区南门,
新苑小学,117.8349,30.95505,安徽省铜陵市新苑小学,
谢家垅,117.6385,30.88545,安徽省铜陵市谢家垅,
嘉华国际广场,117.8438,30.95482,安徽省铜陵市嘉华国际广场,
天山大道,117.8542,30.96018,安徽省铜陵市天山大道,
立新道口,117.8185,30.95123,安徽省铜陵市立新道口,
立新,117.2946,30.72376,安徽省铜陵市立新,
东市分院,120.7079,24.14054,安徽省铜陵市东市分院,
立新菜市场,117.864,30.95099,安徽省铜陵市立新菜市场,
绿源养生公寓,117.858,30.949,安徽省铜陵市绿源养生公寓,
绿源农产品市场,117.8526,30.94994,安徽省铜陵市绿源农产品市场,
高速地产北,117.8546,30.9447,安徽省铜陵市高速地产北,
太阳历广场,117.8588,30.93927,安徽省铜陵市太阳历广场,
狮子山派出所,118.0996,30.99028,安徽省铜陵市狮子山派出所,
铜井路口,117.8572,30.94381,安徽省铜陵市铜井路口,
铜陵站,117.8679,30.92484,安徽省铜陵市铜陵站,
市立医院南,117.8169,30.93752,安徽省铜陵市市立医院南,
第十中学,116.2186,39.82927,安徽省铜陵市第十中学,
有色公司,116.4134,39.91092,安徽省铜陵市有色公司,
天井湖公园,117.8013,30.95509,安徽省铜陵市天井湖公园,
映湖山庄站,117.7999,30.942,安徽省铜陵市映湖山庄站,
杨村,117.3602,30.98889,安徽省铜陵市杨村,
新苑小区,117.8342,30.95444,安徽省铜陵市新苑小区,
瓜果市场,117.8248,30.991,安徽省铜陵市瓜果市场,
铜都广场,117.8154,30.93534,安徽省铜陵市铜都广场,
闽商大厦,117.8117,30.93048,安徽省铜陵市闽商大厦,
铜庄小区,117.8085,30.93139,安徽省铜陵市铜庄小区,
第一加油站,117.8185,30.95123,安徽省铜陵市第一加油站,
杨家山,117.4681,30.80478,安徽省铜陵市杨家山,
有色地质队,117.8057,30.90962,安徽省铜陵市有色地质队,
罗家村,117.8163,30.91722,安徽省铜陵市罗家村,
实验中学,117.2399,30.72693,安徽省铜陵市实验中学,
仁和医院,117.8164,30.91436,安徽省铜陵市仁和医院,
铜陵汽贸城,117.7877,30.97987,安徽省铜陵市铜陵汽贸城,
顺达汽贸,116.209,39.64552,安徽省铜陵市顺达汽贸,
林场,116.4134,39.91092,安徽省铜陵市林场,
云鹤寺,117.7993,30.88976,安徽省铜陵市云鹤寺,
新视文化,117.8185,30.95123,安徽省铜陵市新视文化,
白鹤村,117.7819,30.88832,安徽省铜陵市白鹤村,
顺达驾校,117.879,30.96577,安徽省铜陵市顺达驾校,
顺通大市场,116.7007,39.95374,安徽省铜陵市顺通大市场,
海螺公司,116.5435,39.81476,安徽省铜陵市海螺公司,
山水之门,117.8185,30.95123,安徽省铜陵市山水之门,
海螺新线,117.8185,30.95123,安徽省铜陵市海螺新线,
大通美食城,117.758,30.81845,安徽省铜陵市大通美食城,
农行南区支行,117.8127,30.93059,安徽省铜陵市农行南区支行,
海豚湾宾馆,117.9552,30.95558,安徽省铜陵市海豚湾宾馆,
郊区政府,117.7745,30.8272,安徽省铜陵市郊区政府,
田家炳中学,117.8185,30.95123,安徽省铜陵市田家炳中学,
大通新区,117.7633,30.81767,安徽省铜陵市大通新区,
大通镇,117.7563,30.81791,安徽省铜陵市大通镇,
招呼站,116.7645,40.08623,安徽省铜陵市招呼站,
澜溪山庄,117.7704,30.81708,安徽省铜陵市澜溪山庄,
丰收门,116.4134,39.91092,安徽省铜陵市丰收门,
中国人寿保险,117.8185,30.95123,安徽省铜陵市中国人寿保险,
铜陵西站,117.8242,30.95008,安徽省铜陵市铜陵西站,
铜陵北站,118.028,31.01903,安徽省铜陵市铜陵北站,
东兴生态园,105.0816,29.60068,安徽省铜陵市东兴生态园,
站前路口,118.0423,30.99009,安徽省铜陵市站前路口,
华洋公司,116.5179,39.85061,安徽省铜陵市华洋公司,
远程铜艺厂,118.0316,30.98273,安徽省铜陵市远程铜艺厂,
泰成实业,118.0289,30.9803,安徽省铜陵市泰成实业,
铜都双语学校,118.0254,30.98193,安徽省铜陵市铜都双语学校,
安徽特力,118.0177,30.97689,安徽省铜陵市安徽特力,
华宝电缆,116.3138,39.89747,安徽省铜陵市华宝电缆,
白杨坡,117.8185,30.95123,安徽省铜陵市白杨坡,
金桥开发区,118.0059,30.96965,安徽省铜陵市金桥开发区,
永悦集团,117.9961,30.96826,安徽省铜陵市永悦集团,
北京同仁堂,117.8271,30.92997,安徽省铜陵市北京同仁堂,
宁和苑,117.9782,30.96238,安徽省铜陵市宁和苑,
义安区交警大队,116.85,40.39526,安徽省铜陵市义安区交警大队,
东顺商贸城,117.9709,30.95538,安徽省铜陵市东顺商贸城,
顺安换乘中心,115.9689,39.73264,安徽省铜陵市顺安换乘中心,
顺安镇政府,117.962,30.95857,安徽省铜陵市顺安镇政府,
顺安镇,117.9619,30.95856,安徽省铜陵市顺安镇,
临津公园,117.9472,30.95652,安徽省铜陵市临津公园,
顺安桥,117.8185,30.95123,安徽省铜陵市顺安桥,
禾田中药,116.3646,39.89484,安徽省铜陵市禾田中药,
顺安加油站,117.9728,30.93392,安徽省铜陵市顺安加油站,
陶山村,117.9238,30.95883,安徽省铜陵市陶山村,
小金山,117.9334,30.95896,安徽省铜陵市小金山,
葛仙洞,117.8185,30.95123,安徽省铜陵市葛仙洞,
葛仙陵园,117.9071,30.94807,安徽省铜陵市葛仙陵园,
车管所,116.4783,39.84089,安徽省铜陵市车管所,
小青山,115.6279,39.80195,安徽省铜陵市小青山,
铜都流体,117.8836,30.94517,安徽省铜陵市铜都流体,
豪邦康城,117.8395,30.95367,安徽省铜陵市豪邦康城,
万达广场,117.8364,30.9508,安徽省铜陵市万达广场,
第六人民医院,117.8354,30.94761,安徽省铜陵市第六人民医院,
石城医院,116.8267,40.54704,安徽省铜陵市石城医院,
北京中路,117.8332,30.93715,安徽省铜陵市北京中路,
第四中学,117.8299,30.94504,安徽省铜陵市第四中学,
罗莱家纺,117.8252,30.93374,安徽省铜陵市罗莱家纺,
万达影城,117.8377,30.95116,安徽省铜陵市万达影城,
科技银行,117.8185,30.95123,安徽省铜陵市科技银行,
建设东路,117.8046,30.95676,安徽省铜陵市建设东路,
安徽民俗村,117.809,30.95645,安徽省铜陵市安徽民俗村,
江南文化园,117.804,30.95894,安徽省铜陵市江南文化园,
文化广场,117.7969,30.95789,安徽省铜陵市文化广场,
南湖路,117.7942,30.95628,安徽省铜陵市南湖路,
天井湖度假区,118.0458,30.99184,安徽省铜陵市天井湖度假区,
南湖首末站,120.7765,30.76181,安徽省铜陵市南湖首末站,
凤凰山景区,118.0385,30.85972,安徽省铜陵市凤凰山景区,
凤凰村,118.035,30.87847,安徽省铜陵市凤凰村,
明月村,118.0229,30.91072,安徽省铜陵市明月村,
周店(招呼站),118.0181,30.91666,安徽省铜陵市周店(招呼站),
